,ID,tweet
0,1333890923894353920,"Math should definitely be abolished from the HS curriculum. What's the point of all this counting and graphing?
All… https://t.co/Klbte6WSnf"
1,1333890921298071560,"The Submission Plaza Music from the Check Mii Out Channel stay ON during sex!
https://t.co/RJ3f3SiLNE"
2,1333890920874463233,RT @AudioKitPro: Congrats to @andrewhuang for the killer new app - get it in the App Store now! 🚀 https://t.co/Bh83gkrBVu https://t.co/wjsO…
3,1333890920593432576,"RT @AndrewHulshult: Find someone who has expressed an interest in music this holiday and try to encourage it.

For some it's a great hobby.…"
4,1333890920220069889,@HBurness No no no. Worth it for the music.😀
5,1333890920144539648,RT @kailanidi: Can we drive and listen to RNB music together yes or no?
6,1333890919867801601,i’ve been a fan of more than one  artist that has taken... decisions.... in a an attempt to fit into a-list mainstr… https://t.co/Xp84zG1qdE
7,1333890919138009088,@Xanadu419 isent scars speed build music really good?
8,1333890918663917569,"RT @DailyofJK: Q:”The technique, trick u apply to ur music or ur performance that you could give that maybe our students can apply to their…"
9,1333890918479507461,"There is this ""My Family"" song that comes up almost every time I tune a certain music channel.

How far?

I just wa… https://t.co/B3I3zRKZjl"
10,1333890917820891136,"ARASHI’s music deserves to be heard.

REQUEST @arashi5official @MTV #FridayLivestream 

ARASHI / Party Starters / W… https://t.co/JkGjuhs6Sx"
11,1333890917514743809,"RT @AineMaps: Two fully-funded PhD positions advertised in my dept. 1 in music history, 1 in music technology. Great pay &amp; welfare, Oslo is…"
12,1333890917430943745,RT @RollingStone: Bob Dylan just released the ultra-rare 1970 'George Harrison Sessions' without warning. Hear the duo take on the Beatles…
13,1333890916881494016,RT @__liano: GO BUMP MY BAND’S SINGLE! HEATERS ALL DAY!  https://t.co/sMEZgZYZpc
14,1333890916051017732,its the “only niggers listen to nigger music” 😭 https://t.co/DDErr7YUtm
15,1333890916004679680,"ARASHI’s music deserves to be heard.

REQUEST @arashi5official @MTV #FridayLivestream 

ARASHI / Party Starters / W… https://t.co/pFCL3tKiRb"
16,1333890915409137664,"RT @AesopsFableFly: “BTS is from Korea &amp; our music was always about the crossovers, transcending/breaking borders &amp; languages. so I think a…"
17,1333890915228901377,@June_LaLonde @hmsnofun this is me trying to be funny while also scream about how much i love my girlfriends music
18,1333890914817871882,"RT @TSwiftNZ: 📝 | @UPROXX have ranked #folklore as the #1 Best Album of 2020! 

“There are many reasons why Folklore deserves to be AOTY (.…"
19,1333890914154999808,"ARASHI’s music deserves to be heard.

REQUEST @arashi5official @MTV #FridayLivestream 

ARASHI / Party Starters / W… https://t.co/cx9cvpuryS"
